"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","deposit"
51,"services",1,"professional.course",1,2,1,"telephone","may","mon","150sec",7,999,0,"nonexistent",1.1,93.994,-36.4,"4.857%",5191,"no"
34,"blue-collar",2,"basic.4y",1,1,1,"cellular","nov","thu","223sec",1,999,1,"failure",-0.1,93.2,-42,"4.076%",5195.8,"no"
38,"blue-collar",2,"basic.9y",1,2,1,"cellular","nov","tue","154sec", ,999,0,"nonexistent",-0.1,93.2,-42,"4.153%",5195.8,"no"
46,"management",1,"high.school",1,2,2,"cellular","nov","wed","122sec",2,999,0,"nonexistent",-0.1,93.2,-42,"4.12%",5195.8,"no"
31,"blue-collar",2,"basic.9y",1,1,1,"telephone","may","thu","362sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.855%",5191,"no"
47,"blue-collar",2,"basic.9y",1,1,1,"cellular","jul","tue","134sec",2,999,0,"nonexistent",1.4,93.918,-42.7,"4.961%",5228.1,"no"
40,"technician",3,"university.degree",1,1,1,"telephone","may","tue","198sec",3,999,0,"nonexistent",1.1,93.994,-36.4,"4.857%",5191,"no"
32,"blue-collar",2,"high.school",0,1,1,"telephone","jun","fri","182sec",2,999,0,"nonexistent",1.4,94.465,-41.8,"4.967%",5228.1,"no"
27,"technician",3,"professional.course",1,1,1,"cellular","jul","mon","581sec",4,999,0,"nonexistent",1.4,93.918,-42.7,"4.96%",5228.1,"no"
49,"services",2,"high.school",1,1,1,"cellular","jul","thu","63sec",4,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
52,"admin.",3,"high.school",1,1,1,"cellular","may","mon","437sec",3,999,0,"nonexistent",-1.8,92.893,-46.2,"1.354%",5099.1,"no"
30,"blue-collar",3,"basic.4y",0,1,1,"telephone","jun","wed","952sec",3,999,0,"nonexistent",1.4,94.465,-41.8,"4.959%",5228.1,"no"
34,"technician",3,"university.degree",1,1,1,"cellular","jul","tue","117sec",3,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
51,"admin.",1,"high.school",1,2,1,"cellular","nov","tue","283sec",1,3,7,"success",-1.1,94.767,-50.8,"1.049%",4963.6,"no"
30,"admin.",3,"basic.9y",1,1,1,"cellular","may","tue","17sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.291%",5099.1,"no"
39,"blue-collar",2,"basic.9y",0,1,1,"telephone","may","thu","285sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.855%",5191,"no"
45,"blue-collar",2,"basic.4y",1,1,1,"cellular","aug","fri","507sec",2,999,0,"nonexistent",1.4,93.444,-36.1,"4.966%",5228.1,"yes"
45,"blue-collar",2,"basic.9y",1,2,1,"cellular","aug","fri","161sec",2,999,0,"nonexistent",1.4,93.444,-36.1, ,5228.1,"no"
29,"technician",3,"professional.course",1,1,1,"telephone","may","wed","199sec",2,999,0,"nonexistent",1.1,93.994,-36.4,"4.859%",5191,"no"
25,"services",2,"high.school",1,2,1,"telephone","jun","mon","174sec",9,999,0,"nonexistent",1.4,94.465,-41.8,"4.961%",5228.1,"no"
41,"unknown",0,"unknown",1,2,1,"cellular","jul","mon","91sec",13,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
49,"technician",2,"high.school",1,2,1,"telephone","may","thu","435sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.86%",5191,"no"
47,"services",1,"basic.9y",0,1,1,"cellular","jul","mon","678sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.96%",5228.1,"no"
45,"blue-collar",1,"basic.9y",0,2,1,"cellular","nov","mon","188sec",1,999,0,"nonexistent",-0.1,93.2,-42,"4.191%",5195.8,"no"
42,"blue-collar",2,"basic.4y",0,2,2,"telephone","jun","wed","317sec",9,999,0,"nonexistent",1.4,94.465,-41.8,"4.864%",5228.1,"no"
46,"blue-collar",2,"basic.4y",1,1,1,"telephone","may","tue","115sec",1,999,0,"nonexistent",1.1,93.994,-36.4, ,5191,"no"
28,"technician",3,"professional.course",1,2,1,"cellular","aug","thu","78sec",3,999,0,"nonexistent",-2.9,92.201,-31.4,"0.851%",5076.2,"yes"
59,"blue-collar",2,"basic.4y",0,2,1,"cellular","jul","tue","85sec",5,999,0,"nonexistent",1.4,93.918,-42.7,"4.961%",5228.1,"no"
55,"entrepreneur",1,"high.school",0,1,1,"cellular","aug","wed","88sec",1,999,0,"nonexistent",1.4,93.444,-36.1,"4.965%",5228.1,"no"
38,"blue-collar",3,"basic.9y",1,2,1,"cellular","jul","tue","237sec",3,999,0,"nonexistent",1.4,93.918,-42.7, ,5228.1,"no"
50,"management",2,"university.degree",1,1,1,"cellular","jul","thu","144sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.963%",5228.1,"no"
37,"admin.",1,"high.school",1,2,1,"cellular","jul","wed","178sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.963%",5228.1,"no"
26,"admin.",3,"high.school",1,1,1,"cellular","mar","tue","273sec",2,6,1,"success",-1.8,93.369,-34.8,"0.652%",5008.7,"yes"
43,"blue-collar",2,"basic.9y",1,1,2,"cellular","may","mon","487sec",1,3,1,"success",-1.8,92.893,-46.2,"1.264%",5099.1,"yes"
38,"blue-collar",2,"basic.4y",1,0,0,"cellular","may","thu","141sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.266%",5099.1,"no"
46,"admin.",2,"university.degree",0,1,1,"cellular","jul","fri","178sec",3,999,0,"nonexistent",1.4,93.918,-42.7,"4.957%",5228.1,"no"
58,"unknown",2,"high.school",0,1,1,"cellular","jul","wed","258sec",2,999,0,"nonexistent",1.4,93.918,-42.7,"4.963%",5228.1,"no"
52,"blue-collar",1,"basic.4y",1,1,1,"cellular","nov","thu","200sec",1,999,0,"nonexistent",-0.1,93.2,-42,"4.076%",5195.8,"no"
39,"blue-collar",2,"basic.6y",1,1,1,"telephone","may","thu","124sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.855%",5191,"no"
38,"admin.",3,"university.degree",1,1,1,"cellular","may","mon","190sec",3,999,0,"nonexistent",-1.8,92.893,-46.2,"1.354%",5099.1,"no"
74,"retired",2,"university.degree",1,1,1,"telephone","oct","mon","160sec",1,999,0,"nonexistent",-1.1,94.601,-49.5,"0.977%",4963.6,"no"
38,"technician",3,"high.school",1,1,1,"cellular","aug","wed","74sec",2,999,0,"nonexistent",1.4,93.444,-36.1,"4.964%",5228.1,"no"
44,"blue-collar",2,"basic.6y",1,2,1,"cellular","may","wed","278sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.334%",5099.1,"no"
30,"admin.",2,"university.degree",1,2,1,"telephone","may","fri","242sec",3,999,0,"nonexistent",1.1,93.994,-36.4,"4.864%",5191,"no"
25,"student",3,"high.school",1,2,1,"cellular","oct","fri","234sec",1,3,1,"success",-1.1,94.601,-49.5,"1.029%",4963.6,"yes"
40,"technician",2,"professional.course",1,1,1,"telephone","jun","fri","18sec",1,999,0,"nonexistent",1.4,94.465,-41.8,"4.967%",5228.1,"no"
27,"services",2,"high.school",1,2,2,"cellular","may","tue","15sec",8,999,0,"nonexistent",-1.8,92.893,-46.2,"1.291%",5099.1,"no"
31,"blue-collar",3,"basic.9y",1,1,1,"cellular","may","wed","114sec",1,999,1,"failure",-1.8,92.893,-46.2,"1.281%",5099.1,"no"
31,"blue-collar",2,"basic.6y",0,2,1,"telephone","may","wed","298sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.856%",5191,"no"
58,"retired",2,"professional.course",1,1,1,"cellular","aug","wed","135sec",7,999,0,"nonexistent",1.4,93.444,-36.1,"4.964%",5228.1,"no"
29,"entrepreneur",3,"professional.course",1,1,1,"telephone","jun","wed","609sec",1,999,0,"nonexistent",1.4,94.465,-41.8,"4.962%",5228.1,"no"
50,"blue-collar",2,"basic.9y",0,2,2,"cellular","jul","fri","110sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
57,"management",2,"university.degree",1,2,1,"cellular","aug","thu","77sec",2,999,0,"nonexistent",1.4,93.444,-36.1, ,5228.1,"no"
32,"admin.",3,"university.degree",1,2,1,"cellular","may","tue","206sec",2,999,1,"failure",-1.8,92.893,-46.2,"1.291%",5099.1,"no"
33,"unemployed",2,"basic.4y",1,1,1,"cellular","may","mon","1008sec",1,999,1,"failure",-1.8,92.893,-46.2,"1.244%",5099.1,"yes"
25,"services",3,"high.school",1,1,1,"cellular","aug","fri","553sec",1,999,0,"nonexistent",-2.9,92.201,-31.4,"0.869%",5076.2,"no"
24,"admin.",3,"university.degree",1,1,1,"cellular","may","mon","174sec",1,999,1,"failure",-1.8,92.893,-46.2,"1.264%",5099.1,"no"
53,"technician",1,"university.degree",1,2,1,"telephone","may","wed","352sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.857%",5191,"no"
40,"management",2,"university.degree",1,0,0,"telephone","jun","thu","315sec",1,999,0,"nonexistent",1.4,94.465,-41.8,"4.866%",5228.1,"no"
31,"technician",3,"professional.course",1,0,0,"cellular","oct","thu","212sec",2,999,0,"nonexistent",-1.1,94.601,-49.5,"1.025%",4963.6,"yes"
54,"blue-collar",2,"basic.6y",0,1,1,"telephone","jun","thu","211sec",2,999,0,"nonexistent",1.4,94.465,-41.8,"4.961%",5228.1,"no"
32,"technician",2,"university.degree",1,2,1,"cellular","aug","fri","77sec",1,999,0,"nonexistent",1.4,93.444,-36.1,"4.963%",5228.1,"no"
58,"admin.",1,"university.degree",1,1,1,"cellular","nov","thu","178sec",2,999,0,"nonexistent",-0.1,93.2,-42,"4.076%",5195.8,"no"
30,"technician",3,"high.school",1,1,1,"telephone","jul","tue","17sec",4,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
34,"management",2,"university.degree",1,2,1,"cellular","oct","fri","87sec",1,2,1,"success",-3.4,92.431,-26.9,"0.739%",5017.5,"no"
39,"admin.",3,"university.degree",1,2,1,"cellular","nov","wed","514sec",1,999,0,"nonexistent",-0.1,93.2,-42,"4.12%",5195.8,"no"
31,"blue-collar",2,"basic.4y",1,1,1,"cellular","may","wed","116sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.27%",5099.1,"yes"
29,"entrepreneur",2,"high.school",1,2,1,"cellular","jul","fri","668sec",2,999,0,"nonexistent",1.4,93.918,-42.7,"4.959%",5228.1,"no"
33,"blue-collar",2,"basic.9y",0,1,2,"cellular","may","wed","190sec",3,999,0,"nonexistent",-1.8,92.893,-46.2, ,5099.1,"no"
26,"services",3,"high.school",1,2,1,"cellular","jul","fri","37sec",4,999,0,"nonexistent",1.4,93.918,-42.7,"4.957%",5228.1,"no"
54,"technician",2,"high.school",1,2,1,"telephone","jun","fri","47sec",2,999,0,"nonexistent",1.4,94.465,-41.8,"4.959%",5228.1,"no"
35,"blue-collar",2,"unknown",1,2,1,"telephone","jul","tue","140sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.955%",5228.1,"no"
59,"retired",2,"basic.9y",1,2,1,"cellular","aug","mon","93sec",6,999,0,"nonexistent",1.4,93.444,-36.1,"4.965%",5228.1,"no"
23,"admin.",3,"high.school",1,2,1,"cellular","jul","mon","34sec",3,999,0,"nonexistent",1.4,93.918,-42.7,"4.96%",5228.1,"no"
83,"retired",2,"high.school",1,1,1,"cellular","dec","thu","155sec",1,4,3,"success",-3,92.713,-33,"0.72%",5023.5,"yes"
55,"retired",2,"high.school",0,2,1,"cellular","apr","fri","87sec",2,999,1,"failure",-1.8,93.075,-47.1,"1.405%",5099.1,"no"
52,"admin.",1,"high.school",1,1,1,"telephone","jun","mon","24sec",5,999,0,"nonexistent",1.4,94.465,-41.8,"4.96%",5228.1,"no"
30,"blue-collar",2,"basic.4y",1,2,1,"cellular","may","mon","243sec",2,999,0,"nonexistent",-1.8,92.893,-46.2,"1.299%",5099.1,"no"
31,"admin.",3,"university.degree",1,2,2,"cellular","aug","tue","338sec",1,999,0,"nonexistent",1.4,93.444,-36.1,"4.966%",5228.1,"no"
35,"self-employed",1,"basic.9y",1,1,2,"telephone","may","mon","55sec",3,999,0,"nonexistent",1.1,93.994,-36.4,"4.858%",5191,"no"
24,"blue-collar",3,"basic.9y",1,1,1,"cellular","may","thu","925sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.266%",5099.1,"no"
35,"services",1,"professional.course",1,1,2,"cellular","aug","thu","66sec",1,999,0,"nonexistent",1.4,93.444,-36.1,"4.963%",5228.1,"no"
40,"blue-collar",2,"basic.9y",1,0,0,"telephone","nov","thu","160sec",1,999,0,"nonexistent",-0.1,93.2,-42,"4.245%",5195.8,"yes"
39,"technician",3,"high.school",0,2,1,"cellular","aug","mon","124sec",6,999,0,"nonexistent",1.4,93.444,-36.1,"4.965%",5228.1,"no"
42,"admin.",2,"unknown",1,1,1,"cellular","nov","mon","657sec",1,999,0,"nonexistent",-0.1,93.2,-42,"4.191%",5195.8,"no"
48,"management",2,"high.school",0,1,1,"cellular","aug","tue","135sec",1,999,0,"nonexistent",1.4,93.444,-36.1,"4.968%",5228.1,"no"
40,"technician",2,"professional.course",1,2,1,"cellular","apr","tue","366sec",1,999,0,"nonexistent",-1.8,93.075,-47.1,"1.453%",5099.1,"no"
46,"admin.",2,"high.school",1,1,2,"telephone","jun","fri","492sec",3,999,0,"nonexistent",1.4,94.465,-41.8,"4.959%",5228.1,"no"
50,"blue-collar",2,"basic.6y",0,1,1,"telephone","may","thu","544sec",3,999,0,"nonexistent",1.1,93.994,-36.4,"4.86%",5191,"no"
46,"blue-collar",2,"basic.9y",0,1,1,"telephone","jul","thu","746sec",4,999,0,"nonexistent",1.4,93.918,-42.7,"4.966%",5228.1,"no"
28,"admin.",3,"high.school",1,1,2,"cellular","jul","fri","63sec",12,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
31,"admin.",3,"university.degree",0,2,2,"cellular","may","fri","440sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.313%",5099.1,"no"
46,"student",3,"unknown",1,2,1,"cellular","jul","fri","587sec",5,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
41,"admin.",3,"high.school",1,2,1,"cellular","aug","mon","606sec",1,6,1,"success",-2.9,92.201,-31.4,"0.861%",5076.2,"yes"
38,"admin.",1,"university.degree",1,2,1,"cellular","aug","tue","339sec",2,999,0,"nonexistent",1.4,93.444,-36.1,"4.968%",5228.1,"no"
35,"admin.",2,"university.degree",1,1,1,"cellular","jun","thu","121sec",4,999,0,"nonexistent",-2.9,92.963,-40.8,"1.26%",5076.2,"yes"
50,"blue-collar",2,"basic.4y",1,1,1,"cellular","jul","mon","244sec",3,999,0,"nonexistent",1.4,93.918,-42.7, ,5228.1,"no"
33,"blue-collar",3,"basic.9y",0,0,0,"telephone","may","wed","150sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.856%",5191,"no"
31,"admin.",3,"university.degree",1,1,1,"cellular","aug","tue","138sec",1,999,0,"nonexistent",1.4,93.444,-36.1,"4.966%",5228.1,"no"
38,"technician",2,"professional.course",1,2,1,"telephone","jun","fri","21sec",3,999,0,"nonexistent",1.4,94.465,-41.8, ,5228.1,"no"
45,"admin.",2,"university.degree",1,1,1,"cellular","jul","thu","196sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.968%",5228.1,"no"
50,"services",2,"high.school",1,1,1,"telephone","may","tue","268sec",2,999,0,"nonexistent",1.1,93.994,-36.4,"4.856%",5191,"no"
30,"admin.",2,"university.degree",1,2,1,"telephone","jul","wed","717sec",8,999,0,"nonexistent",1.4,93.918,-42.7,"4.963%",5228.1,"no"
53,"management",2,"basic.6y",0,2,1,"telephone","jun","wed","152sec",6,999,0,"nonexistent",1.4,94.465,-41.8,"4.864%",5228.1,"no"
30,"services",3,"high.school",1,2,1,"telephone","jul","fri","1576sec",3,999,0,"nonexistent",1.4,93.918,-42.7,"4.959%",5228.1,"no"
32,"technician",2,"university.degree",1,2,1,"cellular","nov","thu","245sec",1,999,0,"nonexistent",-0.1,93.2,-42,"4.076%",5195.8,"no"
33,"admin.",2,"university.degree",1,2,2,"cellular","aug","tue","178sec",2,999,0,"nonexistent",1.4,93.444,-36.1,"4.968%",5228.1,"no"
32,"blue-collar",2,"basic.9y",1,1,1,"cellular","apr","fri","462sec",1,999,0,"nonexistent",-1.8,93.075,-47.1,"1.405%",5099.1,"no"
61,"retired",2,"university.degree",1,1,1,"cellular","sep","mon","350sec",1,3,2,"success",-3.4,92.379,-29.8, ,5017.5,"yes"
35,"blue-collar",2,"basic.9y",1,2,1,"cellular","nov","mon","101sec",2,999,1,"failure",-0.1,93.2,-42,"4.191%",5195.8,"no"
37,"admin.",3,"high.school",1,1,1,"cellular","may","fri","165sec",3,999,0,"nonexistent",-1.8,92.893,-46.2,"1.25%",5099.1,"no"
35,"technician",1,"basic.4y",1,1,1,"cellular","nov","tue","363sec",1,999,0,"nonexistent",-1.1,94.767,-50.8,"1.035%",4963.6,"yes"
25,"housemaid",2,"basic.4y",1,1,1,"telephone","jun","wed","362sec",1,999,0,"nonexistent",1.4,94.465,-41.8,"4.962%",5228.1,"no"
38,"unknown",2,"unknown",1,2,1,"cellular","aug","thu","27sec",10,999,0,"nonexistent",1.4,93.444,-36.1,"4.962%",5228.1,"no"
45,"blue-collar",2,"high.school",1,2,1,"cellular","nov","mon","162sec",2,999,0,"nonexistent",-3.4,92.649,-30.1,"0.722%",5017.5,"yes"
44,"technician",2,"professional.course",0,1,1,"telephone","may","fri","119sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.864%",5191,"no"
25,"technician",3,"university.degree",1,2,1,"telephone","aug","thu","256sec",1,999,0,"nonexistent",-2.9,92.201,-31.4,"0.883%",5076.2,"yes"
26,"blue-collar",2,"basic.4y",1,1,1,"cellular","may","tue","54sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.291%",5099.1,"no"
36,"blue-collar",3,"high.school",1,1,1,"cellular","jun","wed","339sec",1,6,1,"success",-1.7,94.055,-39.8,"0.739%",4991.6,"yes"
37,"services",2,"high.school",0,2,1,"telephone","may","mon","58sec",3,999,0,"nonexistent",-1.8,92.893,-46.2,"1.299%",5099.1,"no"
46,"admin.",2,"unknown",0,1,1,"telephone","may","mon","285sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.857%",5191,"no"
48,"admin.",3,"high.school",1,1,1,"cellular","jul","fri","52sec",3,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
45,"services",2,"high.school",1,1,1,"telephone","may","tue","229sec",1,999,0,"nonexistent",1.1,93.994,-36.4, ,5191,"no"
28,"student",3,"basic.9y",1,1,1,"telephone","aug","wed","199sec",2,6,2,"success",-1.7,94.027,-38.3,"0.9%",4991.6,"no"
46,"blue-collar",2,"basic.9y",0,1,1,"telephone","may","mon","886sec",3,999,0,"nonexistent",1.1,93.994,-36.4,"4.858%",5191,"no"
38,"admin.",2,"university.degree",1,2,2,"cellular","jul","tue","452sec",3,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
35,"technician",3,"university.degree",1,2,1,"cellular","aug","fri","105sec",7,999,0,"nonexistent",1.4,93.444,-36.1,"4.963%",5228.1,"no"
39,"blue-collar",2,"basic.9y",1,2,1,"telephone","oct","fri","112sec",1,999,0,"nonexistent",-0.1,93.798,-40.4,"4.918%",5195.8,"yes"
45,"technician",2,"professional.course",1,2,1,"telephone","may","wed","164sec",5,999,0,"nonexistent",1.1,93.994,-36.4,"4.856%",5191,"no"
39,"management",2,"university.degree",1,2,1,"cellular","apr","mon","305sec",2,999,1,"failure",-1.8,93.075,-47.1,"1.405%",5099.1,"no"
59,"admin.",1,"university.degree",1,2,1,"cellular","apr","fri","128sec",3,999,0,"nonexistent",-1.8,93.075,-47.1,"1.405%",5099.1,"no"
37,"technician",2,"high.school",1,2,1,"telephone","jun","tue","267sec",3,999,0,"nonexistent",1.4,94.465,-41.8,"4.864%",5228.1,"no"
58,"admin.",2,"high.school",1,1,1,"cellular","aug","thu","214sec",1,999,0,"nonexistent",1.4,93.444,-36.1,"4.968%",5228.1,"no"
39,"technician",2,"university.degree",1,2,1,"cellular","oct","fri","141sec",1,7,2,"failure",-3.4,92.431,-26.9,"0.739%",5017.5,"no"
57,"blue-collar",2,"basic.4y",0,2,1,"cellular","jul","wed","61sec",4,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
32,"blue-collar",2,"basic.4y",1,1,1,"telephone","may","fri","230sec",2,999,0,"nonexistent",1.1,93.994,-36.4,"4.859%",5191,"no"
53,"admin.",2,"high.school",0,1,1,"cellular","jul","thu","61sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.968%",5228.1,"no"
30,"admin.",3,"university.degree",1,2,1,"cellular","jun","wed","244sec",2,999,0,"nonexistent",-2.9,92.963,-40.8,"1.26%",5076.2,"yes"
35,"management",3,"university.degree",0,2,1,"cellular","jul","thu","211sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
42,"technician",3,"unknown",1,2,1,"telephone","nov","tue","115sec",4,999,0,"nonexistent",-0.1,93.2,-42,"4.153%",5195.8,"no"
45,"admin.",3,"university.degree",1,1,1,"cellular","may","fri","582sec",1,3,1,"success",-1.8,92.893,-46.2,"1.259%",5099.1,"yes"
30,"admin.",1,"university.degree",1,0,0,"cellular","aug","fri","316sec",1,999,0,"nonexistent",1.4,93.444,-36.1,"4.966%",5228.1,"no"
55,"blue-collar",2,"basic.4y",1,2,1,"cellular","jul","tue","63sec",2,999,0,"nonexistent",1.4,93.918,-42.7,"4.961%",5228.1,"no"
32,"admin.",3,"university.degree",1,2,1,"cellular","dec","tue","215sec",2,999,0,"nonexistent",-3,92.713,-33,"0.707%",5023.5,"no"
36,"blue-collar",2,"basic.9y",1,2,1,"cellular","jul","mon","57sec",5,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
38,"management",3,"university.degree",1,2,1,"telephone","jun","thu","69sec",3,999,0,"nonexistent",1.4,94.465,-41.8,"4.958%",5228.1,"no"
31,"technician",3,"university.degree",1,2,1,"telephone","may","mon","125sec",6,999,0,"nonexistent",1.1,93.994,-36.4,"4.857%",5191,"no"
48,"admin.",2,"high.school",0,2,1,"telephone","jun","mon","65sec",3,999,0,"nonexistent",1.4,94.465,-41.8,"4.961%",5228.1,"no"
